stock_code,short_name,lift_date,volume,amount,ratio,price
301233,盛帮股份,2026-01-06,30662000,1535000000,59.57,50.05
002783,凯龙股份,2026-01-06,174900,1579300,0.04,9.03
002943,宇晶股份,2026-01-06,33800000,1110000000,16.45,32.85
002011,盾安环境,2026-01-06,139000000,1775000000,13.10,12.73
688506,百利天恒,2026-01-06,298000000,108497000000,72.20,363.95
600975,新五丰,2026-01-06,233000000,1394000000,18.62,5.99
600732,爱旭股份,2026-01-06,227000000,3005000000,10.73,13.23
301115,联检科技,2026-01-05,1554300,25009400,0.85,16.09
002265,建设工业,2026-01-05,630000000,16788000000,60.98,26.65
002327,富安娜,2026-01-05,2715900,19391500,0.32,7.14
688717,艾罗能源,2026-01-05,1200000,79044000,0.75,65.87
601500,通用股份,2026-01-05,6315000,29743700,0.40,4.71
603515,欧普照明,2026-01-05,45400,820300,0.01,18.05
688327,云从科技,2026-01-05,205000000,2919000000,19.75,14.23
920116,星图测控,2026-01-05,107000000,8833000000,67.04,82.46
603072,天和磁材,2026-01-05,60160000,2574000000,22.76,42.79
301581,黄山谷捷,2026-01-05,28878000,1398000000,36.10,48.40
601456,国联民生,2026-01-05,1771000000,18823000000,31.17,10.63
000561,烽火电子,2026-01-05,114000000,1337000000,13.22,11.70
001388,信通电子,2026-01-05,627300,26729700,0.40,42.61
688373,盟科药业,2026-01-05,71572800,444000000,10.92,6.21
688062,迈威生物,2026-01-05,195000000,8413000000,48.91,43.05
000625,长安汽车,2025-12-31,7174400,84586600,0.07,11.79
002615,哈尔斯,2025-12-31,652000,5163800,0.14,7.92
603227,雪峰科技,2025-12-31,97617200,821000000,9.11,8.41
002217,合力泰,2025-12-31,1599000000,5421000000,21.38,3.39
600654,中安科,2025-12-31,316000000,1218000000,11.00,3.85
600212,绿能慧充,2025-12-31,3935000,33211400,0.56,8.44
002309,中利集团,2025-12-31,1037000000,3359000000,34.47,3.24
002157,正邦科技,2025-12-31,11276600,33716900,0.12,2.99
002393,力生制药,2025-12-30,583000,11911600,0.23,20.43
301297,富乐德,2025-12-30,200000000,7354000000,26.91,36.77
301105,鸿铭股份,2025-12-30,3375000,157000000,6.75,46.56
688525,佰维存储,2025-12-30,114000000,12306000000,24.41,108.01
603027,千禾味业,2025-12-30,2480400,23266200,0.19,9.38
603299,苏盐井神,2025-12-30,609500,6381000,0.08,10.47
002971,和远气体,2025-12-30,957000,29868000,0.45,31.21
001391,国货航,2025-12-30,6433000000,40398000000,52.69,6.28
300221,银禧科技,2025-12-30,860000,8238800,0.18,9.58
688521,芯原股份,2025-12-30,24860400,3453000000,4.73,138.88
002920,德赛西威,2025-12-29,1609300,178000000,0.27,110.57
300345,华民股份,2025-12-29,132000000,849000000,22.75,6.43
301301,川宁生物,2025-12-29,1610000000,16646000000,72.19,10.34
920351,华光源海,2025-12-29,8070000,180000000,9.17,22.34
688496,清越科技,2025-12-29,212000000,1450000000,47.12,6.84
688475,萤石网络,2025-12-29,378000000,11200000000,48.00,29.63
001301,尚太科技,2025-12-29,95609500,8165000000,36.66,85.40
300279,和晶科技,2025-12-29,24274700,176000000,4.96,7.23
002116,中国海诚,2025-12-29,3281200,35994200,0.70,10.97
000681,视觉中国,2025-12-29,129000,2902500,0.02,22.50
002101,广东鸿图,2025-12-29,865600,10863500,0.13,12.55
000425,徐工机械,2025-12-29,2495400,27648900,0.02,11.08
600845,宝信软件,2025-12-29,313600,6561200,0.01,20.92
002688,金河生物,2025-12-29,500000,3060000,0.06,6.12
002202,金风科技,2025-12-29,11436300,181000000,0.27,15.85
920029,开发科技,2025-12-29,6693300,612000000,4.82,91.45
603363,傲农生物,2025-12-29,605000000,2777000000,23.24,4.59
688410,山外山,2025-12-26,86762100,1306000000,27.15,15.05
301280,珠城科技,2025-12-26,5355000,259000000,3.92,48.28
600506,统一股份,2025-12-26,44312100,1109000000,23.08,25.02
002471,中超控股,2025-12-26,7104000,30405100,0.52,4.28
600375,汉马科技,2025-12-26,375000000,2284000000,23.39,6.09
603007,*ST花王,2025-12-26,215000000,1136000000,24.49,5.29
920082,方正阀门,2025-12-26,1235600,21178300,0.85,17.14
301507,民生健康,2025-12-26,1328000,20809800,0.37,15.67
002683,广东宏大,2025-12-25,4428800,187000000,0.58,42.24
603079,圣达生物,2025-12-25,17840700,312000000,9.44,17.49
000411,英特集团,2025-12-24,2107700,26493500,0.40,12.57
002366,融发核电,2025-12-24,562000000,4085000000,27.00,7.27
603194,中力股份,2025-12-24,107000000,4016000000,26.58,37.68
920478,峆一药业,2025-12-24,360400,6812100,0.46,18.90
002003,伟星股份,2025-12-23,8459100,92796300,0.71,10.97
600853,龙建股份,2025-12-23,2589900,11421500,0.26,4.41
002215,诺普信,2025-12-23,1375000,15180000,0.14,11.04
688147,微导纳米,2025-12-23,360000000,23609000000,78.06,65.58
688141,杰华特,2025-12-23,183000000,6953000000,40.62,38.01
601600,中国铝业,2025-12-23,7742700,88267400,0.05,11.40
688192,迪哲医药,2025-12-23,2977200,187000000,0.65,62.94
600221,海航控股,2025-12-23,9973000000,17652000000,23.08,1.77
001323,慕思股份,2025-12-22,330000000,8867000000,75.85,26.87
000920,沃顿科技,2025-12-22,50621100,612000000,10.71,12.09
688498,源杰科技,2025-12-22,23850700,14284000000,27.75,598.90
601136,首创证券,2025-12-22,2252000000,45803000000,82.38,20.34
603087,甘李药业,2025-12-22,1367400,86967400,0.23,63.60
688426,康为世纪,2025-12-22,434200,11407300,0.39,26.27
301220,亚香股份,2025-12-22,46746000,1789000000,41.45,38.27
688349,三一重能,2025-12-22,942000000,24329000000,76.83,25.82
600726,华电能源,2025-12-22,4728000000,11915000000,59.79,2.52
300370,安控科技,2025-12-22,237000000,648000000,15.12,2.74
688248,南网科技,2025-12-22,336000000,14945000000,59.55,44.44
002040,南京港,2025-12-22,151800,1554400,0.03,10.24
000338,潍柴动力,2025-12-22,22914000,406000000,0.26,17.70
688326,经纬恒润,2025-12-22,111800,10262400,0.09,91.76
600765,中航重机,2025-12-22,2680000,42478000,0.17,15.85
301585,蓝宇股份,2025-12-22,42812100,1303000000,41.17,30.44
301598,博科测试,2025-12-22,6540900,401000000,11.11,61.32
600933,爱柯迪,2025-12-22,3744000,73494700,0.36,19.63
603400,华之杰,2025-12-22,402400,21233400,0.40,52.77
301678,新恒汇,2025-12-22,2398300,156000000,1.00,65.10
688726,拉普拉斯,2025-12-22,173000000,6928000000,42.69,40.04
300461,田中精机,2025-12-19,29694500,616000000,18.91,20.75
301413,安培龙,2025-12-19,1230000,160000000,1.25,130.18
300439,美康生物,2025-12-18,475000,4921000,0.12,10.36
920106,林泰新材,2025-12-18,26553400,2209000000,46.92,83.20
301156,美农生物,2025-12-17,55527300,1007000000,39.44,18.13
301109,军信股份,2025-12-17,7196100,104000000,0.91,14.41
688172,燕东微,2025-12-16,193000000,4701000000,13.54,24.32
688721,龙图光罩,2025-12-16,14518900,641000000,10.88,44.16
603383,顶点软件,2025-12-15,693300,26879200,0.34,38.77
002240,盛新锂能,2025-12-15,46630900,1380000000,5.09,29.60
301398,星源卓镁,2025-12-15,3759000,190000000,3.36,50.60
600406,国电南瑞,2025-12-15,180000,4086000,0.00,22.70
603778,国晟科技,2025-12-15,6892500,88775300,1.05,12.88
603307,扬州金泉,2025-12-15,350800,14270500,0.52,40.68
600715,文投控股,2025-12-15,200000000,486000000,4.93,2.43
300015,爱尔眼科,2025-12-15,19390100,219000000,0.21,11.30
688326,经纬恒润,2025-12-15,600,54200,0.00,91.76
688143,长盈通,2025-12-12,27851900,1152000000,21.63,41.37
001223,欧克科技,2025-12-12,70000000,3651000000,74.99,52.15
600212,绿能慧充,2025-12-12,12428000,105000000,1.76,8.44
688605,先锋精科,2025-12-12,67875700,3960000000,33.54,58.34
300757,罗博特科,2025-12-12,3072200,665000000,1.83,216.30
603382,海阳科技,2025-12-12,729500,22569500,0.40,30.94
688775,影石创新,2025-12-11,2298400,603000000,0.57,262.56
920489,佳先股份,2025-12-11,1248300,23055700,0.91,18.47
688226,威腾电气,2025-12-11,1128000,36569800,0.60,32.42
600814,杭州解百,2025-12-10,5586400,42680500,0.76,7.64
600459,贵研铂业,2025-12-10,5866700,103000000,0.77,17.50
301617,博苑股份,2025-12-10,19630000,1513000000,14.69,77.08
920027,交大铁发,2025-12-10,3818000,87050400,4.82,22.80
603209,兴通股份,2025-12-10,41491600,687000000,12.77,16.55
300918,南山智尚,2025-12-10,71428600,1280000000,14.11,17.92
000963,华东医药,2025-12-10,1275100,53720800,0.07,42.13
920087,秋乐种业,2025-12-10,3421400,55905700,2.07,16.34
688484,南芯科技,2025-12-10,1960300,80547000,0.46,41.09
002783,凯龙股份,2025-12-09,2865600,25876000,0.57,9.03
688420,美腾科技,2025-12-09,7630000,190000000,8.63,24.94
688503,聚和材料,2025-12-09,20255000,1056000000,8.37,52.15
601022,宁波远洋,2025-12-09,1060000000,9710000000,81.00,9.16
688721,龙图光罩,2025-12-09,3375000,149000000,2.53,44.16
603969,银龙股份,2025-12-09,905400,8818600,0.11,9.74
688486,龙迅股份,2025-12-09,3200,242100,0.00,76.19
920098,科隆新材,2025-12-09,11648200,317000000,14.32,27.18
920060,万源通,2025-12-09,24723000,795000000,16.26,32.14
300407,凯发电气,2025-12-09,1840000,23717600,0.57,12.89
601899,紫金矿业,2025-12-08,754800,23640300,0.00,31.32
688251,井松智能,2025-12-08,39380000,1063000000,39.09,27.00
300014,亿纬锂能,2025-12-08,125000000,8620000000,6.01,69.13
002947,恒铭达,2025-12-08,230400,10229800,0.09,44.40
688084,晶品特装,2025-12-08,38809800,3081000000,51.30,79.38
002903,宇环数控,2025-12-08,1027500,25214900,0.66,24.54
000048,京基智农,2025-12-08,3521500,44863900,0.66,12.74
688720,艾森股份,2025-12-08,1101700,57066300,1.25,51.80
000670,盈方微,2025-12-08,6858600,52125400,0.81,7.60
603551,奥普科技,2025-12-08,80000,972000,0.02,12.15
688653,康希通信,2025-12-08,2713200,33318200,0.64,12.28
002847,盐津铺子,2025-12-08,397200,26356900,0.15,66.36
605177,东亚药业,2025-12-08,1071100,20896200,0.93,19.51
688726,拉普拉斯,2025-12-08,1364200,54621600,0.34,40.04
688359,三孚新科,2025-12-08,675000,46966500,0.69,69.58
688209,英集芯,2025-12-08,3302900,75735400,0.76,22.93
920592,华信永道,2025-12-08,650100,27168900,0.80,41.79
920208,青矩技术,2025-12-08,11172000,280000000,8.35,25.06
920017,星昊医药,2025-12-08,228800,4264500,0.18,18.64
